Area,Centroid_1,Centroid_2,MajorAxisLength,MinorAxisLength,Eccentricity,Orientation,Circularity,Perimeter
153,84.26143791,26.37908497,15.75173013,12.71687356,0.590097679,13.3930016,1.036409499,43.071
175,84.72,55.29142857,17.54301825,13.23022088,0.656692139,52.85103495,0.904839795,49.299
188,86.55851064,71.09574468,18.64444012,13.48754612,0.690420284,46.55927348,0.872220675,52.044
202,90.90594059,38.61386139,20.06715422,13.85295025,0.723495034,69.60278517,0.872512295,53.938
163,98.39877301,21.30674847,16.42644961,13.14397381,0.599771511,88.55438313,0.917862635,47.24
142,97.21830986,59.86619718,17.11389647,11.04662802,0.763779636,-73.03740144,0.88714106,44.849
223,101.690583,77.01793722,18.7644987,15.46472806,0.566374191,-63.15719032,1.030005542,52.16
152,101.7828947,42.44078947,17.51251286,12.01358421,0.727601519,62.83983298,0.874817886,46.727
193,110.1502591,28.9015544,18.28621464,14.13601386,0.634354714,62.66206185,0.913015908,51.54
157,108.0509554,53.57324841,16.66356699,12.4193643,0.666728738,69.16746636,0.975061467,44.982
304,115.6973684,67.24342105,21.73846429,18.56447604,0.520286028,65.51995601,0.932806064,63.995
165,116.3454545,13.55151515,20.31159825,11.03201141,0.839643108,30.2555176,0.787110838,51.325
262,115.7442748,90.05343511,24.51923111,13.90975191,0.82351143,85.06309489,0.875745048,61.315
244,120.6065574,45.04918033,19.318741,17.13360472,0.461980011,-19.46962526,0.878631831,59.074
178,125,31.57303371,18.30025294,13.06668458,0.700128759,-1.286715342,0.898243251,49.902
128,126.640625,19.7578125,14.86649288,11.99058687,0.591164316,15.82757514,0.914892587,41.93
187,128.2620321,76.31550802,20.97911377,11.70683624,0.829825218,78.36909571,0.851537149,52.532
140,129.2642857,57.27857143,15.1382709,12.31712896,0.581366607,83.23261541,0.955656555,42.906
158,136.3987342,39.84177215,20.29275616,10.24644354,0.863159656,75.48670666,0.830836776,48.885
202,139.2574257,86.98019802,18.64497126,14.09250917,0.65476292,70.18862489,1.035058466,49.522
222,140.0585586,18.87837838,23.4880024,12.53552254,0.845674533,77.7001393,0.824847728,58.156
227,141.1674009,68.24229075,19.01169683,15.67320588,0.566010467,71.15506806,0.977485857,54.021
217,144.3548387,49.46082949,22.97113883,12.41136124,0.84147093,53.48039044,0.863492938,56.196
213,149.8215962,30.19248826,20.41054819,13.76930765,0.738167719,82.38955391,0.93284832,53.566
