Area,Centroid_1,Centroid_2,MajorAxisLength,MinorAxisLength,Eccentricity,Orientation,Circularity,Perimeter
185,113.7513514,68.04324324,21.43023086,12.1785491,0.822829525,-1.402814813,0.798342815,53.963
187,117.4010695,29.29946524,20.80055052,12.66455319,0.793280277,-27.31862215,0.793535423,54.418
284,119.6478873,51.03169014,23.21487814,17.23543564,0.669922996,-64.15928453,0.792534985,67.105
367,122.0354223,86.58583106,33.08720331,14.74303148,0.895241593,74.60975602,0.682032052,82.231
311,127.659164,13.75884244,22.63215614,20.02242951,0.466180863,-40.65439234,0.796851133,70.032
277,131.9891697,38.39711191,24.16206266,15.31064252,0.773607937,76.33222079,0.810926751,65.517
266,136.1842105,68.05263158,26.00253879,13.65278409,0.851067797,-28.72448511,0.788247708,65.12
156,135.9230769,83.07692308,17.6326023,12.54650579,0.702633879,76.35527901,0.836669646,48.405
239,147.1589958,60.41004184,26.423617,14.88619553,0.826206724,-18.16044715,0.591231666,71.273
228,143.1359649,17.37280702,25.6343434,11.82368345,0.887273409,48.55532444,0.763941607,61.241
105,141.3238095,50.9047619,17.15693949,8.242023214,0.877054952,-3.643493517,0.80248859,40.549
146,145.1232877,99.10273973,16.44264952,12.54703571,0.64630557,20.55984297,0.869624982,45.932
140,146.9357143,42.77142857,17.60662712,10.90215673,0.785227349,-29.05094968,0.89230489,44.403
247,148.9595142,84.52631579,22.4535814,15.03856213,0.742575567,54.59000786,0.852984135,60.323
190,150.9631579,32.52631579,22.02487096,11.68453687,0.847675194,-27.38823282,0.858680203,52.731
340,159.8882353,18.04117647,23.77730404,19.44638379,0.575424556,64.48384431,0.868276795,70.148
281,164.9288256,49.83985765,22.4727894,16.49014319,0.679384286,-10.6387377,0.893138365,62.878
122,159.647541,75.8852459,19.35237025,8.406866843,0.900715153,-68.43064948,0.783710119,44.229
280,168.1428571,65.71428571,20.73699029,19.57943065,0.329432885,-88.07429599,0.797236348,66.434
192,168.0520833,33.47395833,19.44206886,13.04933095,0.741284952,44.17683724,0.893592213,51.962
218,176.4587156,82.28440367,23.09245482,13.18642956,0.820930847,-0.966235221,0.782144656,59.182
152,178.2039474,8.480263158,26.8671211,7.910358917,0.955674511,8.541324297,0.603961371,56.237
280,176.6535714,95.51071429,24.48204105,16.0589096,0.754807369,24.20095191,0.785651732,66.922
168,180.75,16.71428571,24.79584743,8.97630845,0.932174779,19.84127581,0.718151611,54.219
208,180.3076923,43.28365385,20.19700899,14.7342864,0.683950797,79.31026254,0.803367328,57.04
228,185.4780702,28.38157895,20.26791259,15.92737902,0.618427192,-31.05725249,0.790196915,60.215
304,185.5690789,69.65460526,27.01289495,15.17219789,0.827364743,-63.41938327,0.727188627,72.48
